year_month,theme,theme_count,rank
2022-02,SECURITY_SERVICES,2644230,1
2022-02,KILL,1910174,2
2022-02,ARMEDCONFLICT,1893987,3
2022-02,BORDER,1508736,4
2022-02,SANCTIONS,866213,5
2022-02,MILITARY,862391,6
2022-02,ELECTION,802409,7
2022-02,ARREST,772127,8
2022-02,ENV_OIL,721375,9
2022-02,MARITIME,669875,10
2022-02,AGRICULTURE,636928,11
2022-02,PROTEST,532548,12
2022-02,WOUND,466002,13
2022-02,PUBLIC_TRANSPORT,430753,14
2022-02,TOURISM,294193,15
2022-02,TAX_MILITARY_TITLE_OFFICER,266114,16
2022-02,UNREST_BELLIGERENT,260614,17
2022-02,TERROR,214890,18
2022-02,TAX_POLITICAL_PARTY_REPUBLICAN,210744,19
2022-02,BAN,207936,20
2022-03,ARMEDCONFLICT,4397854,1
2022-03,SECURITY_SERVICES,2520914,2
2022-03,KILL,2180705,3
2022-03,ENV_OIL,1662967,4
2022-03,BORDER,1419560,5
2022-03,MILITARY,1198730,6
2022-03,SANCTIONS,1143965,7
2022-03,REFUGEES,855755,8
2022-03,ELECTION,842949,9
2022-03,ARREST,830176,10
2022-03,AGRICULTURE,814445,11
2022-03,MARITIME,741650,12
2022-03,PUBLIC_TRANSPORT,596608,13
2022-03,WOUND,581500,14
2022-03,PROTEST,397757,15
2022-03,TOURISM,314220,16
2022-03,BAN,298522,17
2022-03,NEGOTIATIONS,278562,18
2022-03,TAX_MILITARY_TITLE_OFFICER,261326,19
2022-03,TERROR,256708,20
2022-04,ARMEDCONFLICT,3285047,1
2022-04,SECURITY_SERVICES,2674853,2
2022-04,KILL,1959483,3
2022-04,MILITARY,1092566,4
2022-04,ELECTION,1080358,5
2022-04,BORDER,1040194,6
2022-04,ENV_OIL,995237,7
2022-04,ARREST,842060,8
2022-04,AGRICULTURE,739386,9
2022-04,MARITIME,728572,10
2022-04,SANCTIONS,645487,11
2022-04,PUBLIC_TRANSPORT,611317,12
2022-04,WOUND,591123,13
2022-04,TERROR,369009,14
2022-04,PROTEST,345583,15
2022-04,TOURISM,332063,16
2022-04,REFUGEES,281410,17
2022-04,BAN,265019,18
2022-04,TAX_MILITARY_TITLE_OFFICER,248834,19
2022-04,GEN_HOLIDAY,239248,20
2022-05,ARMEDCONFLICT,2903003,1
2022-05,SECURITY_SERVICES,2777271,2
2022-05,KILL,1996202,3
2022-05,ELECTION,1173022,4
2022-05,ENV_OIL,1054444,5
2022-05,MILITARY,982369,6
2022-05,BORDER,971931,7
2022-05,ARREST,834217,8
2022-05,AGRICULTURE,753810,9
2022-05,MARITIME,742776,10
2022-05,WOUND,643101,11
2022-05,TERROR,513994,12
2022-05,PUBLIC_TRANSPORT,388901,13
2022-05,TOURISM,384215,14
2022-05,PROTEST,377873,15
2022-05,TAX_MILITARY_TITLE_OFFICER,313592,16
2022-05,BAN,311767,17
2022-05,TAX_POLITICAL_PARTY_REPUBLICAN,298807,18
2022-05,SANCTIONS,268926,19
2022-05,ALLIANCE,252082,20
2022-06,SECURITY_SERVICES,2767171,1
2022-06,ARMEDCONFLICT,2285265,2
2022-06,KILL,1779852,3
2022-06,ELECTION,1188809,4
2022-06,ENV_OIL,930082,5
2022-06,BORDER,898512,6
2022-06,AGRICULTURE,836100,7
2022-06,ARREST,825928,8
2022-06,MILITARY,811814,9
2022-06,MARITIME,786324,10
2022-06,WOUND,576457,11
2022-06,PROTEST,424849,12
2022-06,PUBLIC_TRANSPORT,421793,13
2022-06,TERROR,410853,14
2022-06,TOURISM,406463,15
2022-06,CORRUPTION,373149,16
2022-06,TAX_WEAPONS_GUN,359070,17
2022-06,TAX_POLITICAL_PARTY_REPUBLICAN,330076,18
2022-06,BAN,313970,19
2022-06,TAX_MILITARY_TITLE_OFFICER,279216,20
2022-07,SECURITY_SERVICES,2803075,1
2022-07,ARMEDCONFLICT,1988931,2
2022-07,KILL,1790569,3
2022-07,BORDER,1010285,4
2022-07,ELECTION,959671,5
2022-07,ARREST,812640,6
2022-07,AGRICULTURE,797620,7
2022-07,MARITIME,768116,8
2022-07,ENV_OIL,763830,9
2022-07,MILITARY,752738,10
2022-07,WOUND,581137,11
2022-07,PROTEST,459041,12
2022-07,TOURISM,427143,13
2022-07,PUBLIC_TRANSPORT,357872,14
2022-07,TERROR,352826,15
2022-07,TAX_MILITARY_TITLE_OFFICER,240339,16
2022-07,TAX_MILITARY_TITLE_OFFICERS,222751,17
2022-07,TAX_POLITICAL_PARTY_REPUBLICAN,222168,18
2022-07,TRAFFIC,220337,19
2022-07,CORRUPTION,217506,20
2022-08,SECURITY_SERVICES,2761106,1
2022-08,ARMEDCONFLICT,1932589,2
2022-08,KILL,1769821,3
2022-08,ELECTION,982779,4
2022-08,BORDER,944592,5
2022-08,MILITARY,858248,6
2022-08,ARREST,825801,7
2022-08,MARITIME,774594,8
2022-08,AGRICULTURE,771758,9
2022-08,ENV_OIL,738820,10
2022-08,WOUND,575762,11
2022-08,PUBLIC_TRANSPORT,502752,12
2022-08,TERROR,436190,13
2022-08,TOURISM,410836,14
2022-08,PROTEST,327156,15
2022-08,TAX_POLITICAL_PARTY_REPUBLICAN,290150,16
2022-08,TAX_MILITARY_TITLE_OFFICER,257738,17
2022-08,BAN,234005,18
2022-08,CORRUPTION,185522,19
2022-08,TAX_POLITICAL_PARTY_DEMOCRATS,182323,20
2022-09,SECURITY_SERVICES,2515512,1
2022-09,ARMEDCONFLICT,1849613,2
2022-09,KILL,1630418,3
2022-09,ELECTION,1083545,4
2022-09,ARREST,798372,5
2022-09,MILITARY,793768,6
2022-09,AGRICULTURE,726135,7
2022-09,MARITIME,688125,8
2022-09,ENV_OIL,684697,9
2022-09,BORDER,644646,10
2022-09,PUBLIC_TRANSPORT,444908,11
2022-09,PROTEST,384022,12
2022-09,TOURISM,370685,13
2022-09,CORRUPTION,312962,14
2022-09,WOUND,310645,15
2022-09,NATURAL_DISASTER_HURRICANE,298940,16
2022-09,TAX_MILITARY_TITLE_OFFICER,242291,17
2022-09,TAX_POLITICAL_PARTY_REPUBLICAN,216565,18
2022-09,TERROR,210748,19
2022-09,TRAFFIC,176459,20
2022-10,SECURITY_SERVICES,2553195,1
2022-10,ARMEDCONFLICT,1860935,2
2022-10,KILL,1622838,3
2022-10,ELECTION,1414246,4
2022-10,MARITIME,868687,5
2022-10,ARREST,819635,6
2022-10,ENV_OIL,773657,7
2022-10,MILITARY,738395,8
2022-10,AGRICULTURE,666469,9
2022-10,WOUND,483455,10
2022-10,MARITIME_INCIDENT,448768,11
2022-10,PROTEST,431633,12
2022-10,PUBLIC_TRANSPORT,329507,13
2022-10,TOURISM,303687,14
2022-10,BORDER,294243,15
2022-10,TAX_POLITICAL_PARTY_REPUBLICAN,260997,16
2022-10,TAX_MILITARY_TITLE_OFFICER,251973,17
2022-10,TERROR,251137,18
2022-10,DEMOCRACY,200409,19
2022-10,TRAFFIC,192908,20
2022-11,SECURITY_SERVICES,2312368,1
2022-11,ARMEDCONFLICT,1641910,2
2022-11,ELECTION,1532954,3
2022-11,KILL,1448372,4
2022-11,ARREST,729425,5
2022-11,MILITARY,655957,6
2022-11,AGRICULTURE,654291,7
2022-11,MARITIME,617810,8
2022-11,ENV_OIL,608362,9
2022-11,PROTEST,439559,10
2022-11,WOUND,437411,11
2022-11,TAX_POLITICAL_PARTY_REPUBLICAN,433374,12
2022-11,PUBLIC_TRANSPORT,313648,13
2022-11,GEN_HOLIDAY,312075,14
2022-11,BORDER,274118,15
2022-11,TAX_POLITICAL_PARTY_DEMOCRATS,268150,16
2022-11,TAX_POLITICAL_PARTY_REPUBLICANS,267513,17
2022-11,TOURISM,263343,18
2022-11,TAX_MILITARY_TITLE_OFFICER,256092,19
2022-11,TERROR,252286,20
2022-12,SECURITY_SERVICES,2462549,1
2022-12,ARMEDCONFLICT,1649833,2
2022-12,KILL,1534316,3
2022-12,ELECTION,849766,4
2022-12,ARREST,833744,5
2022-12,ENV_OIL,756137,6
2022-12,MILITARY,686828,7
2022-12,AGRICULTURE,599570,8
2022-12,GEN_HOLIDAY,588718,9
2022-12,MARITIME,573553,10
2022-12,WOUND,438130,11
2022-12,CORRUPTION,430735,12
2022-12,BORDER,409415,13
2022-12,PUBLIC_TRANSPORT,398750,14
2022-12,PROTEST,379474,15
2022-12,TOURISM,331003,16
2022-12,TAX_MILITARY_TITLE_OFFICER,230759,17
2022-12,STRIKE,228314,18
2022-12,CONSTITUTIONAL,226177,19
2022-12,BAN,223982,20
2023-01,SECURITY_SERVICES,3065778,1
2023-01,KILL,2266653,2
2023-01,ARMEDCONFLICT,2109847,3
2023-01,ARREST,1123320,4
2023-01,ELECTION,880779,5
2023-01,MILITARY,835441,6
2023-01,ENV_OIL,823929,7
2023-01,MARITIME,653314,8
2023-01,WOUND,639342,9
2023-01,PUBLIC_TRANSPORT,620560,10
2023-01,AGRICULTURE,595679,11
2023-01,GEN_HOLIDAY,525646,12
2023-01,BORDER,456151,13
2023-01,TOURISM,444262,14
2023-01,SANCTIONS,439619,15
2023-01,PROTEST,438330,16
2023-01,CORRUPTION,362300,17
2023-01,TERROR,341459,18
2023-01,TAX_MILITARY_TITLE_OFFICER,271776,19
2023-01,TRAFFIC,263618,20
2023-02,SECURITY_SERVICES,2695314,1
2023-02,ARMEDCONFLICT,2475733,2
2023-02,KILL,2345950,3
2023-02,NATURAL_DISASTER_EARTHQUAKE,1298927,4
2023-02,ARREST,1031139,5
2023-02,ENV_OIL,849728,6
2023-02,MILITARY,849425,7
2023-02,ELECTION,818371,8
2023-02,PUBLIC_TRANSPORT,756154,9
2023-02,MARITIME,703505,10
2023-02,AGRICULTURE,666328,11
2023-02,WOUND,634373,12
2023-02,SANCTIONS,560314,13
2023-02,BORDER,480198,14
2023-02,NATURAL_DISASTER_EARTHQUAKES,420405,15
2023-02,TOURISM,357839,16
2023-02,PROTEST,320464,17
2023-02,GEN_HOLIDAY,313589,18
2023-02,MARITIME_INCIDENT,303904,19
2023-02,TERROR,302176,20
2023-03,SECURITY_SERVICES,3361512,1
2023-03,ARMEDCONFLICT,2695641,2
2023-03,KILL,2600672,3
2023-03,ARREST,1345779,4
2023-03,ELECTION,1258170,5
2023-03,MILITARY,969656,6
2023-03,ENV_OIL,933163,7
2023-03,PUBLIC_TRANSPORT,902936,8
2023-03,MARITIME,863310,9
2023-03,AGRICULTURE,789557,10
2023-03,WOUND,692613,11
2023-03,SANCTIONS,591127,12
2023-03,PROTEST,581052,13
2023-03,NATURAL_DISASTER_EARTHQUAKES,537578,14
2023-03,NATURAL_DISASTER_EARTHQUAKE,504874,15
2023-03,BORDER,412224,16
2023-03,TERROR,358779,17
2023-03,TOURISM,337325,18
2023-03,DEMOCRACY,327639,19
2023-03,MARITIME_INCIDENT,313218,20
2023-04,SECURITY_SERVICES,4327628,1
2023-04,ARMEDCONFLICT,3016166,2
2023-04,KILL,2919706,3
2023-04,ELECTION,1615560,4
2023-04,ARREST,1600440,5
2023-04,MILITARY,1321525,6
2023-04,MARITIME,1015090,7
2023-04,AGRICULTURE,983822,8
2023-04,WOUND,922297,9
2023-04,PUBLIC_TRANSPORT,894066,10
2023-04,ENV_OIL,857392,11
2023-04,PROTEST,609323,12
2023-04,TOURISM,528061,13
2023-04,GEN_HOLIDAY,478153,14
2023-04,TAX_MILITARY_TITLE_OFFICER,429983,15
2023-04,SANCTIONS,429337,16
2023-04,URBAN,411792,17
2023-04,TERROR,403972,18
2023-04,TRAFFIC,387683,19
2023-04,NATURAL_DISASTER_EARTHQUAKE,378451,20
2023-05,SECURITY_SERVICES,4565939,1
2023-05,ARMEDCONFLICT,2812706,2
2023-05,KILL,2594151,3
2023-05,ELECTION,2194539,4
2023-05,ARREST,1426954,5
2023-05,AGRICULTURE,1227941,6
2023-05,MILITARY,1168222,7
2023-05,MARITIME,1072076,8
2023-05,WOUND,844639,9
2023-05,PUBLIC_TRANSPORT,833274,10
2023-05,TOURISM,719004,11
2023-05,ENV_OIL,712137,12
2023-05,PROTEST,658416,13
2023-05,BORDER,639902,14
2023-05,TAX_MILITARY_TITLE_OFFICER,485412,15
2023-05,TERROR,465704,16
2023-05,ALLIANCE,446994,17
2023-05,TAX_POLITICAL_PARTY_REPUBLICAN,418972,18
2023-05,DEMOCRACY,369355,19
2023-05,TAX_MILITARY_TITLE_OFFICERS,359085,20
2023-06,SECURITY_SERVICES,4081375,1
2023-06,ARMEDCONFLICT,2565841,2
2023-06,KILL,2372548,3
2023-06,ELECTION,1545146,4
2023-06,MARITIME,1321834,5
2023-06,ARREST,1289369,6
2023-06,MILITARY,1193152,7
2023-06,AGRICULTURE,1185221,8
2023-06,PUBLIC_TRANSPORT,853226,9
2023-06,WOUND,800798,10
2023-06,MARITIME_INCIDENT,657772,11
2023-06,TOURISM,646788,12
2023-06,ENV_OIL,606449,13
2023-06,PROTEST,595361,14
2023-06,URBAN,450531,15
2023-06,CORRUPTION,441181,16
2023-06,TAX_MILITARY_TITLE_OFFICER,421183,17
2023-06,GEN_HOLIDAY,349772,18
2023-06,ALLIANCE,334360,19
2023-06,TRAFFIC,333719,20
2023-07,SECURITY_SERVICES,4269819,1
2023-07,ARMEDCONFLICT,2524031,2
2023-07,KILL,2360459,3
2023-07,ELECTION,1318907,4
2023-07,MARITIME,1258198,5
2023-07,ARREST,1226485,6
2023-07,AGRICULTURE,1102343,7
2023-07,MILITARY,1093108,8
2023-07,WOUND,813209,9
2023-07,PUBLIC_TRANSPORT,758221,10
2023-07,TOURISM,757406,11
2023-07,PROTEST,630118,12
2023-07,ENV_OIL,559556,13
2023-07,ALLIANCE,552084,14
2023-07,MARITIME_INCIDENT,528136,15
2023-07,TAX_MILITARY_TITLE_OFFICER,460399,16
2023-07,URBAN,437895,17
2023-07,TRAFFIC,413277,18
2023-07,GEN_HOLIDAY,349124,19
2023-07,TERROR,324745,20
2023-08,SECURITY_SERVICES,4183448,1
2023-08,KILL,2407723,2
2023-08,ARMEDCONFLICT,2355299,3
2023-08,ELECTION,1703066,4
2023-08,ARREST,1340349,5
2023-08,MARITIME,1258549,6
2023-08,MILITARY,1193583,7
2023-08,AGRICULTURE,1109672,8
2023-08,PUBLIC_TRANSPORT,830947,9
2023-08,WOUND,788067,10
2023-08,TOURISM,727139,11
2023-08,ENV_OIL,673941,12
2023-08,CORRUPTION,529262,13
2023-08,PROTEST,448076,14
2023-08,TAX_MILITARY_TITLE_OFFICER,435356,15
2023-08,TRAFFIC,410521,16
2023-08,DISASTER_FIRE,365112,17
2023-08,MARITIME_INCIDENT,357438,18
2023-08,BORDER,338917,19
2023-08,TAX_MILITARY_TITLE_OFFICERS,326321,20
2023-09,SECURITY_SERVICES,3896489,1
2023-09,ARMEDCONFLICT,2337655,2
2023-09,KILL,2281565,3
2023-09,ELECTION,1522516,4
2023-09,ARREST,1230424,5
2023-09,AGRICULTURE,1160355,6
2023-09,MARITIME,1039938,7
2023-09,MILITARY,988300,8
2023-09,PUBLIC_TRANSPORT,794583,9
2023-09,WOUND,739636,10
2023-09,ENV_OIL,718819,11
2023-09,TOURISM,651037,12
2023-09,PROTEST,537061,13
2023-09,BORDER,472454,14
2023-09,CORRUPTION,469800,15
2023-09,TAX_MILITARY_TITLE_OFFICER,443824,16
2023-09,TRAFFIC,379552,17
2023-09,TAX_MILITARY_TITLE_OFFICERS,319478,18
2023-09,TERROR,312489,19
2023-09,TAX_POLITICAL_PARTY_REPUBLICAN,299945,20
2023-10,SECURITY_SERVICES,3950539,1
2023-10,ARMEDCONFLICT,3687245,2
2023-10,KILL,3029944,3
2023-10,TAX_TERROR_GROUP_HAMAS,2917451,4
2023-10,TAX_POLITICAL_PARTY_HAMAS,2916312,5
2023-10,ELECTION,1780638,6
2023-10,MILITARY,1592496,7
2023-10,TERROR,1418926,8
2023-10,ARREST,1269944,9
2023-10,WOUND,1120031,10
2023-10,AGRICULTURE,1061716,11
2023-10,MARITIME,982660,12
2023-10,BORDER,949363,13
2023-10,ENV_OIL,695888,14
2023-10,PUBLIC_TRANSPORT,643470,15
2023-10,TOURISM,623486,16
2023-10,KIDNAP,599570,17
2023-10,PROTEST,541584,18
2023-10,CORRUPTION,464639,19
2023-10,TAX_POLITICAL_PARTY_REPUBLICAN,373258,20
2023-11,SECURITY_SERVICES,3735594,1
2023-11,ARMEDCONFLICT,3260375,2
2023-11,KILL,2621092,3
2023-11,TAX_POLITICAL_PARTY_HAMAS,2027282,4
2023-11,TAX_TERROR_GROUP_HAMAS,2024951,5
2023-11,ELECTION,1605748,6
2023-11,MILITARY,1397031,7
2023-11,ARREST,1394191,8
2023-11,AGRICULTURE,1049230,9
2023-11,KIDNAP,1005164,10
2023-11,TERROR,987839,11
2023-11,MARITIME,931566,12
2023-11,WOUND,887647,13
2023-11,BORDER,705601,14
2023-11,PUBLIC_TRANSPORT,592929,15
2023-11,PROTEST,591637,16
2023-11,TOURISM,525182,17
2023-11,CEASEFIRE,457001,18
2023-11,GEN_HOLIDAY,451434,19
2023-11,ENV_OIL,428485,20
2023-12,SECURITY_SERVICES,3717206,1
2023-12,ARMEDCONFLICT,2836692,2
2023-12,KILL,2453715,3
2023-12,ELECTION,1855038,4
2023-12,MILITARY,1340265,5
2023-12,ARREST,1269225,6
2023-12,TAX_TERROR_GROUP_HAMAS,1042754,7
2023-12,TAX_POLITICAL_PARTY_HAMAS,1042220,8
2023-12,AGRICULTURE,992445,9
2023-12,GEN_HOLIDAY,940324,10
2023-12,MARITIME,937544,11
2023-12,TERROR,832529,12
2023-12,WOUND,822033,13
2023-12,ENV_OIL,685576,14
2023-12,PUBLIC_TRANSPORT,639082,15
2023-12,BORDER,603380,16
2023-12,TOURISM,533858,17
2023-12,CONSTITUTIONAL,419601,18
2023-12,PROTEST,415818,19
2023-12,TRAFFIC,381272,20
2024-01,SECURITY_SERVICES,3797897,1
2024-01,ARMEDCONFLICT,3009839,2
2024-01,KILL,2498147,3
2024-01,ELECTION,1985407,4
2024-01,ARREST,1286866,5
2024-01,AGRICULTURE,1252009,6
2024-01,MILITARY,1197492,7
2024-01,MARITIME,1063797,8
2024-01,TERROR,1028255,9
2024-01,WOUND,839405,10
2024-01,TAX_TERROR_GROUP_HAMAS,689677,11
2024-01,PUBLIC_TRANSPORT,681425,12
2024-01,TAX_POLITICAL_PARTY_HAMAS,672297,13
2024-01,BORDER,650428,14
2024-01,TOURISM,606645,15
2024-01,PROTEST,540199,16
2024-01,ENV_OIL,536102,17
2024-01,CORRUPTION,497650,18
2024-01,TRAFFIC,389270,19
2024-01,TAX_POLITICAL_PARTY_REPUBLICAN,350202,20
2024-02,SECURITY_SERVICES,3682503,1
2024-02,ARMEDCONFLICT,2773820,2
2024-02,KILL,2317786,3
2024-02,ELECTION,2143379,4
2024-02,AGRICULTURE,1468722,5
2024-02,ARREST,1283960,6
2024-02,MILITARY,1124410,7
2024-02,MARITIME,885446,8
2024-02,BORDER,790150,9
2024-02,WOUND,709067,10
2024-02,PROTEST,664202,11
2024-02,TERROR,646634,12
2024-02,TOURISM,579836,13
2024-02,PUBLIC_TRANSPORT,573105,14
2024-02,TAX_TERROR_GROUP_HAMAS,494101,15
2024-02,TAX_POLITICAL_PARTY_HAMAS,492886,16
2024-02,CORRUPTION,438424,17
2024-02,TRAFFIC,416585,18
2024-02,TAX_MILITARY_TITLE_OFFICER,395024,19
2024-02,TAX_POLITICAL_PARTY_REPUBLICAN,380325,20
2024-03,SECURITY_SERVICES,3796762,1
2024-03,ARMEDCONFLICT,2893279,2
2024-03,ELECTION,2526921,3
2024-03,KILL,2367639,4
2024-03,ARREST,1333509,5
2024-03,MARITIME,1235676,6
2024-03,AGRICULTURE,1193034,7
2024-03,MILITARY,1071911,8
2024-03,PUBLIC_TRANSPORT,755808,9
2024-03,TERROR,732231,10
