date,country,report_count,total_report_count
2022-02-01,AE,45,35651
2022-02-01,AF,28,35651
2022-02-01,AG,13,35651
2022-02-01,AJ,134,35651
2022-02-01,AL,44,35651
2022-02-01,AM,361,35651
2022-02-01,AN,2,35651
2022-02-01,AR,210,35651
2022-02-01,AS,83,35651
2022-02-01,AU,99,35651
2022-02-01,BA,14,35651
2022-02-01,BB,1,35651
2022-02-01,BE,50,35651
2022-02-01,BG,64,35651
2022-02-01,BK,48,35651
2022-02-01,BL,26,35651
2022-02-01,BM,3,35651
2022-02-01,BO,146,35651
2022-02-01,BR,211,35651
2022-02-01,BU,417,35651
2022-02-01,CA,138,35651
2022-02-01,CB,7,35651
2022-02-01,CE,2,35651
2022-02-01,CF,2,35651
2022-02-01,CG,1,35651
2022-02-01,CH,771,35651
2022-02-01,CI,13,35651
2022-02-01,CM,2,35651
2022-02-01,CO,36,35651
2022-02-01,CT,2,35651
2022-02-01,CU,21,35651
2022-02-01,CY,31,35651
2022-02-01,DA,24,35651
2022-02-01,DR,1,35651
2022-02-01,EC,5,35651
2022-02-01,EG,193,35651
2022-02-01,EI,47,35651
2022-02-01,EN,80,35651
2022-02-01,ES,1,35651
2022-02-01,EZ,118,35651
2022-02-01,FI,158,35651
2022-02-01,FJ,3,35651
2022-02-01,FR,397,35651
2022-02-01,GG,24,35651
2022-02-01,GH,11,35651
2022-02-01,GM,680,35651
2022-02-01,GR,376,35651
2022-02-01,GT,2,35651
2022-02-01,GV,2,35651
2022-02-01,HK,9,35651
2022-02-01,HO,12,35651
2022-02-01,HR,138,35651
2022-02-01,HU,131,35651
2022-02-01,IC,9,35651
2022-02-01,ID,119,35651
2022-02-01,IN,354,35651
2022-02-01,IR,53,35651
2022-02-01,IS,471,35651
2022-02-01,IT,498,35651
2022-02-01,IV,2,35651
2022-02-01,IZ,40,35651
2022-02-01,JA,52,35651
2022-02-01,JM,11,35651
2022-02-01,JO,1,35651
2022-02-01,KE,7,35651
2022-02-01,KG,47,35651
2022-02-01,KN,2,35651
2022-02-01,KS,97,35651
2022-02-01,KU,23,35651
2022-02-01,KV,21,35651
2022-02-01,KZ,113,35651
2022-02-01,LE,37,35651
2022-02-01,LG,70,35651
2022-02-01,LH,350,35651
2022-02-01,LO,94,35651
2022-02-01,LU,13,35651
2022-02-01,LY,17,35651
2022-02-01,MD,310,35651
2022-02-01,MG,5,35651
2022-02-01,MI,5,35651
2022-02-01,MJ,11,35651
2022-02-01,MK,57,35651
2022-02-01,ML,70,35651
2022-02-01,MO,7,35651
2022-02-01,MP,2,35651
2022-02-01,MT,6,35651
2022-02-01,MU,5,35651
2022-02-01,MX,166,35651
2022-02-01,MY,36,35651
2022-02-01,NG,1,35651
2022-02-01,NI,54,35651
2022-02-01,NL,29,35651
2022-02-01,NO,39,35651
2022-02-01,NP,5,35651
2022-02-01,NS,1,35651
2022-02-01,NU,3,35651
2022-02-01,NZ,31,35651
2022-02-01,PA,6,35651
2022-02-01,PE,9,35651
2022-02-01,PK,53,35651
2022-02-01,PL,596,35651
2022-02-01,PM,12,35651
2022-02-01,PO,76,35651
2022-02-01,PP,2,35651
2022-02-01,QA,12,35651
2022-02-01,RB,5,35651
2022-02-01,RI,291,35651
2022-02-01,RO,498,35651
2022-02-01,RP,29,35651
2022-02-01,RS,12529,35651
2022-02-01,SA,75,35651
2022-02-01,SE,1,35651
2022-02-01,SF,40,35651
2022-02-01,SG,9,35651
2022-02-01,SI,35,35651
2022-02-01,SN,8,35651
2022-02-01,SP,402,35651
2022-02-01,SU,7,35651
2022-02-01,SW,122,35651
2022-02-01,SY,25,35651
2022-02-01,SZ,105,35651
2022-02-01,TD,1,35651
2022-02-01,TH,82,35651
2022-02-01,TI,16,35651
2022-02-01,TO,2,35651
2022-02-01,TS,3,35651
2022-02-01,TU,590,35651
2022-02-01,TW,57,35651
2022-02-01,TX,3,35651
2022-02-01,UG,2,35651
2022-02-01,UK,782,35651
2022-02-01,UP,5866,35651
2022-02-01,US,4161,35651
2022-02-01,UY,6,35651
2022-02-01,UZ,18,35651
2022-02-01,VE,80,35651
2022-02-01,VM,247,35651
2022-02-01,WA,1,35651
2022-02-01,YM,5,35651
2022-02-01,ZI,1,35651
2022-02-02,AE,53,36893
2022-02-02,AF,28,36893
2022-02-02,AG,12,36893
2022-02-02,AJ,138,36893
2022-02-02,AL,28,36893
2022-02-02,AM,299,36893
2022-02-02,AN,1,36893
2022-02-02,AR,242,36893
2022-02-02,AS,73,36893
2022-02-02,AU,91,36893
2022-02-02,BA,14,36893
2022-02-02,BD,2,36893
2022-02-02,BE,42,36893
2022-02-02,BF,1,36893
2022-02-02,BG,70,36893
2022-02-02,BK,50,36893
2022-02-02,BL,27,36893
2022-02-02,BM,1,36893
2022-02-02,BO,145,36893
2022-02-02,BR,244,36893
2022-02-02,BU,393,36893
2022-02-02,BY,1,36893
2022-02-02,CA,149,36893
2022-02-02,CB,4,36893
2022-02-02,CD,1,36893
2022-02-02,CE,4,36893
2022-02-02,CF,3,36893
2022-02-02,CG,1,36893
2022-02-02,CH,874,36893
2022-02-02,CI,29,36893
2022-02-02,CO,47,36893
2022-02-02,CS,2,36893
2022-02-02,CU,25,36893
2022-02-02,CY,34,36893
2022-02-02,DA,28,36893
2022-02-02,DO,2,36893
2022-02-02,DR,1,36893
