year_month,theme,theme_count,rank
2022-02,SECURITY_SERVICES,2644230,1
2022-02,KILL,1910174,2
2022-02,ARMEDCONFLICT,1893991,3
2022-02,BORDER,1508479,4
2022-02,SANCTIONS,866214,5
2022-02,MILITARY,862314,6
2022-02,ELECTION,802849,7
2022-02,ARREST,772082,8
2022-02,ENV_OIL,721386,9
2022-02,MARITIME,669870,10
2022-02,AGRICULTURE,636929,11
2022-02,PROTEST,532586,12
2022-02,WOUND,466002,13
2022-02,PUBLIC_TRANSPORT,430764,14
2022-02,TOURISM,294239,15
2022-02,TAX_MILITARY_TITLE_OFFICER,266119,16
2022-02,UNREST_BELLIGERENT,260174,17
2022-02,TERROR,214890,18
2022-02,TAX_POLITICAL_PARTY_REPUBLICAN,210744,19
2022-02,BAN,207872,20
2022-03,ARMEDCONFLICT,4397854,1
2022-03,SECURITY_SERVICES,2520914,2
2022-03,KILL,2180705,3
2022-03,ENV_OIL,1662950,4
2022-03,BORDER,1419562,5
2022-03,MILITARY,1198733,6
2022-03,SANCTIONS,1143970,7
2022-03,REFUGEES,855755,8
2022-03,ELECTION,842945,9
2022-03,ARREST,830176,10
2022-03,AGRICULTURE,814449,11
2022-03,MARITIME,741652,12
2022-03,PUBLIC_TRANSPORT,597294,13
2022-03,WOUND,581500,14
2022-03,PROTEST,397755,15
2022-03,TOURISM,314220,16
2022-03,BAN,298517,17
2022-03,NEGOTIATIONS,278563,18
2022-03,TAX_MILITARY_TITLE_OFFICER,261326,19
2022-03,TERROR,256708,20
2022-04,ARMEDCONFLICT,3285045,1
2022-04,SECURITY_SERVICES,2674853,2
2022-04,KILL,1959479,3
2022-04,MILITARY,1092566,4
2022-04,ELECTION,1080325,5
2022-04,BORDER,1040187,6
2022-04,ENV_OIL,995233,7
2022-04,ARREST,842069,8
2022-04,AGRICULTURE,739125,9
2022-04,MARITIME,728572,10
2022-04,SANCTIONS,645459,11
2022-04,PUBLIC_TRANSPORT,611323,12
2022-04,WOUND,591142,13
2022-04,TERROR,369009,14
2022-04,PROTEST,344699,15
2022-04,TOURISM,332063,16
2022-04,REFUGEES,281407,17
2022-04,BAN,265023,18
2022-04,TAX_MILITARY_TITLE_OFFICER,248834,19
2022-04,GEN_HOLIDAY,239248,20
2022-05,ARMEDCONFLICT,2903000,1
2022-05,SECURITY_SERVICES,2777271,2
2022-05,KILL,1996202,3
2022-05,ELECTION,1173022,4
2022-05,ENV_OIL,1054871,5
2022-05,MILITARY,982369,6
2022-05,BORDER,971929,7
2022-05,ARREST,834217,8
2022-05,AGRICULTURE,753808,9
2022-05,MARITIME,742776,10
2022-05,WOUND,643107,11
2022-05,TERROR,513999,12
2022-05,PUBLIC_TRANSPORT,388901,13
2022-05,TOURISM,384215,14
2022-05,PROTEST,377878,15
2022-05,TAX_MILITARY_TITLE_OFFICER,313595,16
2022-05,BAN,311778,17
2022-05,TAX_POLITICAL_PARTY_REPUBLICAN,298807,18
2022-05,SANCTIONS,268926,19
2022-05,ALLIANCE,252094,20
2022-06,SECURITY_SERVICES,2767171,1
2022-06,ARMEDCONFLICT,2285264,2
2022-06,KILL,1779851,3
2022-06,ELECTION,1188820,4
2022-06,ENV_OIL,930082,5
2022-06,BORDER,899139,6
2022-06,AGRICULTURE,836101,7
2022-06,ARREST,825931,8
2022-06,MILITARY,811814,9
2022-06,MARITIME,785982,10
2022-06,WOUND,576230,11
2022-06,PROTEST,424839,12
2022-06,PUBLIC_TRANSPORT,421791,13
2022-06,TERROR,411104,14
2022-06,TOURISM,406492,15
2022-06,CORRUPTION,373148,16
2022-06,TAX_WEAPONS_GUN,359070,17
2022-06,TAX_POLITICAL_PARTY_REPUBLICAN,330076,18
2022-06,BAN,313969,19
2022-06,TAX_MILITARY_TITLE_OFFICER,279216,20
2022-07,SECURITY_SERVICES,2803077,1
2022-07,ARMEDCONFLICT,1988931,2
2022-07,KILL,1790560,3
2022-07,BORDER,1010277,4
2022-07,ELECTION,959605,5
2022-07,ARREST,812698,6
2022-07,AGRICULTURE,797620,7
2022-07,MARITIME,768114,8
2022-07,ENV_OIL,763830,9
2022-07,MILITARY,752744,10
2022-07,WOUND,581134,11
2022-07,PROTEST,459044,12
2022-07,TOURISM,427143,13
2022-07,PUBLIC_TRANSPORT,357872,14
2022-07,TERROR,352857,15
2022-07,TAX_MILITARY_TITLE_OFFICER,240309,16
2022-07,TAX_MILITARY_TITLE_OFFICERS,222781,17
2022-07,TAX_POLITICAL_PARTY_REPUBLICAN,222168,18
2022-07,TRAFFIC,220337,19
2022-07,CORRUPTION,217454,20
2022-08,SECURITY_SERVICES,2761106,1
2022-08,ARMEDCONFLICT,1932588,2
2022-08,KILL,1769823,3
2022-08,ELECTION,982779,4
2022-08,BORDER,944592,5
2022-08,MILITARY,858248,6
2022-08,ARREST,825804,7
2022-08,MARITIME,774589,8
2022-08,AGRICULTURE,771758,9
2022-08,ENV_OIL,738820,10
2022-08,WOUND,575762,11
2022-08,PUBLIC_TRANSPORT,501914,12
2022-08,TERROR,436190,13
2022-08,TOURISM,410834,14
2022-08,PROTEST,327232,15
2022-08,TAX_POLITICAL_PARTY_REPUBLICAN,290150,16
2022-08,TAX_MILITARY_TITLE_OFFICER,257738,17
2022-08,BAN,234005,18
2022-08,CORRUPTION,185510,19
2022-08,TAX_POLITICAL_PARTY_DEMOCRATS,182323,20
2022-09,SECURITY_SERVICES,2515575,1
2022-09,ARMEDCONFLICT,1849612,2
2022-09,KILL,1630421,3
2022-09,ELECTION,1083646,4
2022-09,ARREST,798372,5
2022-09,MILITARY,793755,6
2022-09,AGRICULTURE,726072,7
2022-09,MARITIME,688098,8
2022-09,ENV_OIL,684697,9
2022-09,BORDER,644646,10
2022-09,PUBLIC_TRANSPORT,444919,11
2022-09,PROTEST,384051,12
2022-09,TOURISM,370708,13
2022-09,CORRUPTION,312908,14
2022-09,WOUND,310544,15
2022-09,NATURAL_DISASTER_HURRICANE,298940,16
2022-09,TAX_MILITARY_TITLE_OFFICER,242291,17
2022-09,TAX_POLITICAL_PARTY_REPUBLICAN,216565,18
2022-09,TERROR,210744,19
2022-09,TRAFFIC,176459,20
2022-10,SECURITY_SERVICES,2553195,1
2022-10,ARMEDCONFLICT,1860925,2
2022-10,KILL,1622840,3
2022-10,ELECTION,1414397,4
2022-10,MARITIME,868687,5
2022-10,ARREST,819639,6
2022-10,ENV_OIL,773653,7
2022-10,MILITARY,738391,8
2022-10,AGRICULTURE,666469,9
2022-10,WOUND,483433,10
2022-10,MARITIME_INCIDENT,448747,11
2022-10,PROTEST,431616,12
2022-10,PUBLIC_TRANSPORT,329508,13
2022-10,TOURISM,303687,14
2022-10,BORDER,294243,15
2022-10,TAX_POLITICAL_PARTY_REPUBLICAN,260997,16
2022-10,TAX_MILITARY_TITLE_OFFICER,251973,17
2022-10,TERROR,251148,18
2022-10,DEMOCRACY,200410,19
2022-10,TRAFFIC,192856,20
2022-11,SECURITY_SERVICES,2312368,1
2022-11,ARMEDCONFLICT,1641923,2
2022-11,ELECTION,1532952,3
2022-11,KILL,1448365,4
2022-11,ARREST,729425,5
2022-11,MILITARY,655968,6
2022-11,AGRICULTURE,654293,7
2022-11,MARITIME,617811,8
2022-11,ENV_OIL,606437,9
2022-11,PROTEST,439559,10
2022-11,WOUND,437623,11
2022-11,TAX_POLITICAL_PARTY_REPUBLICAN,433374,12
2022-11,PUBLIC_TRANSPORT,313463,13
2022-11,GEN_HOLIDAY,312075,14
2022-11,BORDER,274124,15
2022-11,TAX_POLITICAL_PARTY_DEMOCRATS,268150,16
2022-11,TAX_POLITICAL_PARTY_REPUBLICANS,267513,17
2022-11,TOURISM,263341,18
2022-11,TAX_MILITARY_TITLE_OFFICER,256092,19
2022-11,TERROR,252286,20
2022-12,SECURITY_SERVICES,2462553,1
2022-12,ARMEDCONFLICT,1649832,2
2022-12,KILL,1534316,3
2022-12,ELECTION,849762,4
2022-12,ARREST,833744,5
2022-12,ENV_OIL,756137,6
2022-12,MILITARY,686821,7
2022-12,AGRICULTURE,599570,8
2022-12,GEN_HOLIDAY,588718,9
2022-12,MARITIME,573566,10
2022-12,WOUND,438130,11
2022-12,CORRUPTION,430729,12
2022-12,BORDER,409386,13
2022-12,PUBLIC_TRANSPORT,398750,14
2022-12,PROTEST,379510,15
2022-12,TOURISM,331009,16
2022-12,TAX_MILITARY_TITLE_OFFICER,230759,17
2022-12,STRIKE,228314,18
2022-12,CONSTITUTIONAL,226177,19
2022-12,BAN,223979,20
2023-01,SECURITY_SERVICES,3065778,1
2023-01,KILL,2266652,2
2023-01,ARMEDCONFLICT,2109861,3
2023-01,ARREST,1123320,4
2023-01,ELECTION,880780,5
2023-01,MILITARY,835377,6
2023-01,ENV_OIL,823929,7
2023-01,MARITIME,653097,8
2023-01,WOUND,639342,9
2023-01,PUBLIC_TRANSPORT,620560,10
2023-01,AGRICULTURE,595622,11
2023-01,GEN_HOLIDAY,525648,12
2023-01,BORDER,456151,13
2023-01,TOURISM,444406,14
2023-01,SANCTIONS,439621,15
2023-01,PROTEST,438320,16
2023-01,CORRUPTION,362280,17
2023-01,TERROR,341470,18
2023-01,TAX_MILITARY_TITLE_OFFICER,271785,19
2023-01,TRAFFIC,263617,20
2023-02,SECURITY_SERVICES,2695314,1
2023-02,ARMEDCONFLICT,2475751,2
2023-02,KILL,2345931,3
2023-02,NATURAL_DISASTER_EARTHQUAKE,1298928,4
2023-02,ARREST,1031139,5
2023-02,ENV_OIL,849725,6
2023-02,MILITARY,849422,7
2023-02,ELECTION,818371,8
2023-02,PUBLIC_TRANSPORT,756154,9
2023-02,MARITIME,703577,10
2023-02,AGRICULTURE,666328,11
2023-02,WOUND,634383,12
2023-02,SANCTIONS,560314,13
2023-02,BORDER,480198,14
2023-02,NATURAL_DISASTER_EARTHQUAKES,420406,15
2023-02,TOURISM,357839,16
2023-02,PROTEST,320406,17
2023-02,GEN_HOLIDAY,313589,18
2023-02,MARITIME_INCIDENT,303886,19
2023-02,TERROR,302176,20
2023-03,SECURITY_SERVICES,3361512,1
2023-03,ARMEDCONFLICT,2695641,2
2023-03,KILL,2600672,3
2023-03,ARREST,1345768,4
2023-03,ELECTION,1258176,5
2023-03,MILITARY,969781,6
2023-03,ENV_OIL,933181,7
2023-03,PUBLIC_TRANSPORT,902935,8
2023-03,MARITIME,863309,9
2023-03,AGRICULTURE,789557,10
2023-03,WOUND,692613,11
2023-03,SANCTIONS,591127,12
2023-03,PROTEST,581046,13
2023-03,NATURAL_DISASTER_EARTHQUAKES,537578,14
2023-03,NATURAL_DISASTER_EARTHQUAKE,504874,15
2023-03,BORDER,412224,16
2023-03,TERROR,358759,17
2023-03,TOURISM,337326,18
2023-03,DEMOCRACY,327634,19
2023-03,MARITIME_INCIDENT,313217,20
2023-04,SECURITY_SERVICES,4327611,1
2023-04,ARMEDCONFLICT,3016157,2
2023-04,KILL,2919706,3
2023-04,ELECTION,1615560,4
2023-04,ARREST,1600440,5
2023-04,MILITARY,1320925,6
2023-04,MARITIME,1015092,7
2023-04,AGRICULTURE,983819,8
2023-04,WOUND,922295,9
2023-04,PUBLIC_TRANSPORT,894083,10
2023-04,ENV_OIL,857392,11
2023-04,PROTEST,609927,12
2023-04,TOURISM,528061,13
2023-04,GEN_HOLIDAY,478153,14
2023-04,TAX_MILITARY_TITLE_OFFICER,429983,15
2023-04,SANCTIONS,429337,16
2023-04,URBAN,411792,17
2023-04,TERROR,403972,18
2023-04,TRAFFIC,387683,19
2023-04,NATURAL_DISASTER_EARTHQUAKE,378451,20
2023-05,SECURITY_SERVICES,4565947,1
2023-05,ARMEDCONFLICT,2812706,2
2023-05,KILL,2594151,3
2023-05,ELECTION,2194497,4
2023-05,ARREST,1426953,5
2023-05,AGRICULTURE,1227947,6
2023-05,MILITARY,1168222,7
2023-05,MARITIME,1072076,8
2023-05,WOUND,844639,9
2023-05,PUBLIC_TRANSPORT,833274,10
2023-05,TOURISM,719028,11
2023-05,ENV_OIL,712137,12
2023-05,PROTEST,658301,13
2023-05,BORDER,639904,14
2023-05,TAX_MILITARY_TITLE_OFFICER,485412,15
2023-05,TERROR,465706,16
2023-05,ALLIANCE,446994,17
2023-05,TAX_POLITICAL_PARTY_REPUBLICAN,418972,18
2023-05,DEMOCRACY,369358,19
2023-05,TAX_MILITARY_TITLE_OFFICERS,359100,20
2023-06,SECURITY_SERVICES,4081375,1
2023-06,ARMEDCONFLICT,2565841,2
2023-06,KILL,2372536,3
2023-06,ELECTION,1545146,4
2023-06,MARITIME,1321834,5
2023-06,ARREST,1289369,6
2023-06,MILITARY,1193152,7
2023-06,AGRICULTURE,1185221,8
2023-06,PUBLIC_TRANSPORT,853226,9
2023-06,WOUND,800800,10
2023-06,MARITIME_INCIDENT,657772,11
2023-06,TOURISM,646788,12
2023-06,ENV_OIL,606449,13
2023-06,PROTEST,595359,14
2023-06,URBAN,450529,15
2023-06,CORRUPTION,441181,16
2023-06,TAX_MILITARY_TITLE_OFFICER,421183,17
2023-06,GEN_HOLIDAY,349808,18
2023-06,ALLIANCE,334389,19
2023-06,TRAFFIC,333719,20
2023-07,SECURITY_SERVICES,4269834,1
2023-07,ARMEDCONFLICT,2524031,2
2023-07,KILL,2360459,3
2023-07,ELECTION,1318907,4
2023-07,MARITIME,1258198,5
2023-07,ARREST,1226493,6
2023-07,AGRICULTURE,1102343,7
2023-07,MILITARY,1093123,8
2023-07,WOUND,813204,9
2023-07,PUBLIC_TRANSPORT,758221,10
2023-07,TOURISM,757371,11
2023-07,PROTEST,632562,12
2023-07,ENV_OIL,559564,13
2023-07,ALLIANCE,552083,14
2023-07,MARITIME_INCIDENT,528135,15
2023-07,TAX_MILITARY_TITLE_OFFICER,460399,16
2023-07,URBAN,437913,17
2023-07,TRAFFIC,413288,18
2023-07,GEN_HOLIDAY,349125,19
2023-07,TERROR,322295,20
2023-08,SECURITY_SERVICES,4183448,1
2023-08,KILL,2407723,2
2023-08,ARMEDCONFLICT,2355299,3
2023-08,ELECTION,1703066,4
2023-08,ARREST,1340349,5
2023-08,MARITIME,1258549,6
2023-08,MILITARY,1193583,7
2023-08,AGRICULTURE,1109678,8
2023-08,PUBLIC_TRANSPORT,830947,9
2023-08,WOUND,788067,10
2023-08,TOURISM,727129,11
2023-08,ENV_OIL,673940,12
2023-08,CORRUPTION,529262,13
2023-08,PROTEST,448075,14
2023-08,TAX_MILITARY_TITLE_OFFICER,435356,15
2023-08,TRAFFIC,410520,16
2023-08,DISASTER_FIRE,365087,17
2023-08,MARITIME_INCIDENT,357444,18
2023-08,BORDER,338917,19
2023-08,TAX_MILITARY_TITLE_OFFICERS,326330,20
2023-09,SECURITY_SERVICES,3896489,1
2023-09,ARMEDCONFLICT,2337644,2
2023-09,KILL,2281582,3
2023-09,ELECTION,1522527,4
2023-09,ARREST,1230151,5
2023-09,AGRICULTURE,1160355,6
2023-09,MARITIME,1039924,7
2023-09,MILITARY,988300,8
2023-09,PUBLIC_TRANSPORT,794583,9
2023-09,WOUND,739636,10
2023-09,ENV_OIL,718819,11
2023-09,TOURISM,651037,12
2023-09,PROTEST,537065,13
2023-09,BORDER,472454,14
2023-09,CORRUPTION,469800,15
2023-09,TAX_MILITARY_TITLE_OFFICER,443837,16
2023-09,TRAFFIC,379496,17
2023-09,TAX_MILITARY_TITLE_OFFICERS,319478,18
2023-09,TERROR,312489,19
2023-09,TAX_POLITICAL_PARTY_REPUBLICAN,299944,20
2023-10,SECURITY_SERVICES,3950539,1
2023-10,ARMEDCONFLICT,3687244,2
2023-10,KILL,3029949,3
2023-10,TAX_TERROR_GROUP_HAMAS,2917451,4
2023-10,TAX_POLITICAL_PARTY_HAMAS,2916245,5
2023-10,ELECTION,1780638,6
2023-10,MILITARY,1592505,7
2023-10,TERROR,1418926,8
2023-10,ARREST,1269945,9
2023-10,WOUND,1120124,10
2023-10,AGRICULTURE,1062820,11
2023-10,MARITIME,982725,12
2023-10,BORDER,949363,13
2023-10,ENV_OIL,695888,14
2023-10,PUBLIC_TRANSPORT,643471,15
2023-10,TOURISM,623486,16
2023-10,KIDNAP,599570,17
2023-10,PROTEST,541585,18
2023-10,CORRUPTION,464642,19
2023-10,TAX_POLITICAL_PARTY_REPUBLICAN,373258,20
2023-11,SECURITY_SERVICES,3735597,1
2023-11,ARMEDCONFLICT,3260375,2
2023-11,KILL,2621091,3
2023-11,TAX_POLITICAL_PARTY_HAMAS,2026902,4
2023-11,TAX_TERROR_GROUP_HAMAS,2025331,5
2023-11,ELECTION,1605748,6
2023-11,MILITARY,1397031,7
2023-11,ARREST,1394191,8
2023-11,AGRICULTURE,1049230,9
2023-11,KIDNAP,1005164,10
2023-11,TERROR,987839,11
2023-11,MARITIME,931566,12
2023-11,WOUND,887647,13
2023-11,BORDER,705672,14
2023-11,PUBLIC_TRANSPORT,592929,15
2023-11,PROTEST,591647,16
2023-11,TOURISM,525163,17
2023-11,CEASEFIRE,457001,18
2023-11,GEN_HOLIDAY,451434,19
2023-11,ENV_OIL,429443,20
2023-12,SECURITY_SERVICES,3717206,1
2023-12,ARMEDCONFLICT,2836692,2
2023-12,KILL,2453721,3
2023-12,ELECTION,1855036,4
2023-12,MILITARY,1340271,5
2023-12,ARREST,1269233,6
2023-12,TAX_POLITICAL_PARTY_HAMAS,1042957,7
2023-12,TAX_TERROR_GROUP_HAMAS,1042017,8
2023-12,AGRICULTURE,992420,9
2023-12,GEN_HOLIDAY,940324,10
2023-12,MARITIME,937574,11
2023-12,TERROR,832527,12
2023-12,WOUND,822033,13
2023-12,ENV_OIL,685654,14
2023-12,PUBLIC_TRANSPORT,639083,15
2023-12,BORDER,603380,16
2023-12,TOURISM,533858,17
2023-12,CONSTITUTIONAL,419624,18
2023-12,PROTEST,415849,19
2023-12,TRAFFIC,381253,20
2024-01,SECURITY_SERVICES,3797897,1
2024-01,ARMEDCONFLICT,3009839,2
2024-01,KILL,2498146,3
2024-01,ELECTION,1985407,4
2024-01,ARREST,1286868,5
2024-01,AGRICULTURE,1252011,6
2024-01,MILITARY,1197492,7
2024-01,MARITIME,1063797,8
2024-01,TERROR,1028262,9
2024-01,WOUND,839405,10
2024-01,TAX_TERROR_GROUP_HAMAS,689634,11
2024-01,PUBLIC_TRANSPORT,681404,12
2024-01,TAX_POLITICAL_PARTY_HAMAS,672297,13
2024-01,BORDER,650428,14
2024-01,TOURISM,606658,15
2024-01,PROTEST,540199,16
2024-01,ENV_OIL,536102,17
2024-01,CORRUPTION,497650,18
2024-01,TRAFFIC,389274,19
2024-01,TAX_POLITICAL_PARTY_REPUBLICAN,350202,20
2024-02,SECURITY_SERVICES,3682597,1
2024-02,ARMEDCONFLICT,2773821,2
2024-02,KILL,2317786,3
2024-02,ELECTION,2143389,4
2024-02,AGRICULTURE,1468721,5
2024-02,ARREST,1283955,6
2024-02,MILITARY,1124410,7
2024-02,MARITIME,885446,8
2024-02,BORDER,790150,9
2024-02,WOUND,709062,10
2024-02,PROTEST,664409,11
2024-02,TERROR,646634,12
2024-02,TOURISM,579938,13
2024-02,PUBLIC_TRANSPORT,573105,14
2024-02,TAX_POLITICAL_PARTY_HAMAS,494205,15
2024-02,TAX_TERROR_GROUP_HAMAS,492782,16
2024-02,CORRUPTION,438329,17
2024-02,TRAFFIC,416590,18
2024-02,TAX_MILITARY_TITLE_OFFICER,395025,19
2024-02,TAX_POLITICAL_PARTY_REPUBLICAN,380325,20
2024-03,SECURITY_SERVICES,3796762,1
2024-03,ARMEDCONFLICT,2893280,2
2024-03,ELECTION,2526924,3
2024-03,KILL,2367641,4
2024-03,ARREST,1333509,5
2024-03,MARITIME,1235699,6
2024-03,AGRICULTURE,1193035,7
2024-03,MILITARY,1071911,8
2024-03,PUBLIC_TRANSPORT,755810,9
2024-03,TERROR,732215,10
