year_month,country,theme,theme_count,rank
2022-02,AA,KILL,11,1
2022-02,AA,CYBER_ATTACK,10,2
2022-02,AA,PUBLIC_TRANSPORT,6,3
2022-02,AA,ENV_METALS,5,4
2022-02,AA,UNREST_BELLIGERENT,5,5
2022-02,AA,EXTREMISM,5,6
2022-02,AA,IDEOLOGY,4,7
2022-02,AA,SECURITY_SERVICES,4,8
2022-02,AA,PROTEST,3,9
2022-02,AA,ARMEDCONFLICT,3,10
2022-02,AA,SHORTAGE,3,11
2022-02,AA,TAX_WORLDARACHNIDS_TICKS,2,12
2022-02,AA,APPOINTMENT,2,13
2022-02,AA,NATURAL_DISASTER_LAVA,2,14
2022-02,AA,TRANSPARENCY,2,15
2022-02,AA,GEN_HOLIDAY,2,16
2022-02,AA,BAN,2,17
2022-02,AA,RATIFY,1,18
2022-02,AA,POWER_OUTAGE,1,19
2022-02,AA,SLUMS,1,20
2022-02,AC,SECURITY_SERVICES,62,1
2022-02,AC,TOURISM,24,2
2022-02,AC,KILL,17,3
2022-02,AC,TAX_MILITARY_TITLE_OFFICERS,16,4
2022-02,AC,RAPE,12,5
2022-02,AC,ENV_OIL,12,6
2022-02,AC,TAX_POLITICAL_PARTY_LABOUR_PARTY,10,7
2022-02,AC,AGRICULTURE,9,8
2022-02,AC,MARITIME,9,9
2022-02,AC,PROTEST,9,10
2022-02,AC,ELECTION,8,11
2022-02,AC,RURAL,7,12
2022-02,AC,RETIREMENT,7,13
2022-02,AC,IMMIGRATION,7,14
2022-02,AC,CRIME_ILLEGAL_DRUGS,6,15
2022-02,AC,SANITATION,6,16
2022-02,AC,NEGOTIATIONS,6,17
2022-02,AC,CONSTITUTIONAL,6,18
2022-02,AC,TAX_MILITARY_TITLE_OFFICER,5,19
2022-02,AC,ARMEDCONFLICT,5,20
2022-02,AE,KILL,4830,1
2022-02,AE,SECURITY_SERVICES,4228,2
2022-02,AE,ARMEDCONFLICT,4193,3
2022-02,AE,TOURISM,3602,4
2022-02,AE,ENV_OIL,3029,5
2022-02,AE,AGRICULTURE,2299,6
2022-02,AE,TERROR,1998,7
2022-02,AE,MARITIME,1937,8
2022-02,AE,MILITARY,1871,9
2022-02,AE,BORDER,1828,10
2022-02,AE,SANCTIONS,1482,11
2022-02,AE,ARREST,1450,12
2022-02,AE,ENV_CLIMATECHANGE,1324,13
2022-02,AE,PROTEST,1203,14
2022-02,AE,WOUND,1147,15
2022-02,AE,PUBLIC_TRANSPORT,1112,16
2022-02,AE,TAX_MILITARY_TITLE_COMMANDER,1042,17
2022-02,AE,TRAFFIC,1028,18
2022-02,AE,IDEOLOGY,996,19
2022-02,AE,UNREST_BELLIGERENT,923,20
2022-02,AF,TAX_TERROR_GROUP_TALIBAN,6329,1
2022-02,AF,ARMEDCONFLICT,2786,2
2022-02,AF,KILL,1466,3
2022-02,AF,TERROR,1412,4
2022-02,AF,SANCTIONS,1369,5
2022-02,AF,PROTEST,1057,6
2022-02,AF,BORDER,1025,7
2022-02,AF,SECURITY_SERVICES,947,8
2022-02,AF,MILITARY,807,9
2022-02,AF,SELF_IDENTIFIED_HUMANITARIAN_CRISIS,799,10
2022-02,AF,ARREST,744,11
2022-02,AF,SELF_IDENTIFIED_HUMAN_RIGHTS,658,12
